leakage,integration_cost,p_modular,p_withholding,p_ownership,p_no_trade,p_agreement,mean_disclosure,mean_context_use,mean_protection,mean_owner_payoff,mean_provider_payoff,mean_transfer_to_provider
0.00000000,0.00000000,0.77520000,0.00000000,0.22480000,0.00000000,0.77520000,0.77520000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.01666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.03333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.05000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.06666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.08333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.10000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.11666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.13333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.15000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.16666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.18333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.21666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.23333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.26666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.28333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.30000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.31666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.33333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.35000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.36666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.38333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.40000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.41666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.43333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
