verifiable_share,collateral_share_of_expected_value,collateral,expected_net_capability_value,maximum_pledgeable_payment,pledgeable_share,unpledgeable_expected_value,regime,disclosure,reuse,transfer_to_provider
0.00000000,0.00000000,0.00000000,0.29500000,0.00000000,0.00000000,0.29500000,strategic_withholding,0.60199005,0.60199005,-0.00000000
0.01666667,0.00000000,0.00000000,0.29500000,0.00491667,0.01666667,0.29008333,strategic_withholding,0.61691542,0.61691542,-0.00303317
0.03333333,0.00000000,0.00000000,0.29500000,0.00983333,0.03333333,0.28516667,strategic_withholding,0.62686567,0.62686567,-0.00616418
0.05000000,0.00000000,0.00000000,0.29500000,0.01475000,0.05000000,0.28025000,strategic_withholding,0.64179104,0.64179104,-0.00946642
0.06666667,0.00000000,0.00000000,0.29500000,0.01966667,0.06666667,0.27533333,strategic_withholding,0.65671642,0.65671642,-0.01291542
0.08333333,0.00000000,0.00000000,0.29500000,0.02458333,0.08333333,0.27041667,strategic_withholding,0.67164179,0.67164179,-0.01651119
0.10000000,0.00000000,0.00000000,0.29500000,0.02950000,0.10000000,0.26550000,strategic_withholding,0.68656716,0.68656716,-0.02025373
0.11666667,0.00000000,0.00000000,0.29500000,0.03441667,0.11666667,0.26058333,strategic_withholding,0.69651741,0.69651741,-0.02397181
0.13333333,0.00000000,0.00000000,0.29500000,0.03933333,0.13333333,0.25566667,strategic_withholding,0.71144279,0.71144279,-0.02798342
0.15000000,0.00000000,0.00000000,0.29500000,0.04425000,0.15000000,0.25075000,strategic_withholding,0.72636816,0.72636816,-0.03214179
0.16666667,0.00000000,0.00000000,0.29500000,0.04916667,0.16666667,0.24583333,strategic_withholding,0.74129353,0.74129353,-0.03644693
0.18333333,0.00000000,0.00000000,0.29500000,0.05408333,0.18333333,0.24091667,strategic_withholding,0.75124378,0.75124378,-0.04062977
0.20000000,0.00000000,0.00000000,0.29500000,0.05900000,0.20000000,0.23600000,strategic_withholding,0.76616915,0.76616915,-0.04520398
0.21666667,0.00000000,0.00000000,0.29500000,0.06391667,0.21666667,0.23108333,strategic_withholding,0.78109453,0.78109453,-0.04992496
0.23333333,0.00000000,0.00000000,0.29500000,0.06883333,0.23333333,0.22616667,strategic_withholding,0.79601990,0.79601990,-0.05479270
0.25000000,0.00000000,0.00000000,0.29500000,0.07375000,0.25000000,0.22125000,strategic_withholding,0.80597015,0.80597015,-0.05944030
0.26666667,0.00000000,0.00000000,0.29500000,0.07866667,0.26666667,0.21633333,strategic_withholding,0.82089552,0.82089552,-0.06457711
0.28333333,0.00000000,0.00000000,0.29500000,0.08358333,0.28333333,0.21141667,strategic_withholding,0.83582090,0.83582090,-0.06986070
0.30000000,0.00000000,0.00000000,0.29500000,0.08850000,0.30000000,0.20650000,strategic_withholding,0.84577114,0.84577114,-0.07485075
0.31666667,0.00000000,0.00000000,0.29500000,0.09341667,0.31666667,0.20158333,strategic_withholding,0.86069652,0.86069652,-0.08040340
0.33333333,0.00000000,0.00000000,0.29500000,0.09833333,0.33333333,0.19666667,strategic_withholding,0.87064677,0.87064677,-0.08561360
0.35000000,0.00000000,0.00000000,0.29500000,0.10325000,0.35000000,0.19175000,strategic_withholding,0.88557214,0.88557214,-0.09143532
0.36666667,0.00000000,0.00000000,0.29500000,0.10816667,0.36666667,0.18683333,strategic_withholding,0.90049751,0.90049751,-0.09740381
0.38333333,0.00000000,0.00000000,0.29500000,0.11308333,0.38333333,0.18191667,strategic_withholding,0.91044776,0.91044776,-0.10295647
0.40000000,0.00000000,0.00000000,0.29500000,0.11800000,0.40000000,0.17700000,strategic_withholding,0.92537313,0.92537313,-0.10919403
0.41666667,0.00000000,0.00000000,0.29500000,0.12291667,0.41666667,0.17208333,strategic_withholding,0.93532338,0.93532338,-0.11496683
0.43333333,0.00000000,0.00000000,0.29500000,0.12783333,0.43333333,0.16716667,strategic_withholding,0.95024876,0.95024876,-0.12147347
0.45000000,0.00000000,0.00000000,0.29500000,0.13275000,0.45000000,0.16225000,strategic_withholding,0.96019900,0.96019900,-0.12746642
0.46666667,0.00000000,0.00000000,0.29500000,0.13766667,0.46666667,0.15733333,strategic_withholding,0.97512438,0.97512438,-0.13424212
0.48333333,0.00000000,0.00000000,0.29500000,0.14258333,0.48333333,0.15241667,strategic_withholding,0.98507463,0.98507463,-0.14045522
0.50000000,0.00000000,0.00000000,0.29500000,0.14750000,0.50000000,0.14750000,priced_reuse,1.00000000,1.00000000,-0.14750000
0.51666667,0.00000000,0.00000000,0.29500000,0.15241667,0.51666667,0.14258333,priced_reuse,1.00000000,1.00000000,-0.15241667
0.53333333,0.00000000,0.00000000,0.29500000,0.15733333,0.53333333,0.13766667,priced_reuse,1.00000000,1.00000000,-0.15733333
0.55000000,0.00000000,0.00000000,0.29500000,0.16225000,0.55000000,0.13275000,priced_reuse,1.00000000,1.00000000,-0.16225000
0.56666667,0.00000000,0.00000000,0.29500000,0.16716667,0.56666667,0.12783333,priced_reuse,1.00000000,1.00000000,-0.16716667
0.58333333,0.00000000,0.00000000,0.29500000,0.17208333,0.58333333,0.12291667,priced_reuse,1.00000000,1.00000000,-0.17208333
0.60000000,0.00000000,0.00000000,0.29500000,0.17700000,0.60000000,0.11800000,priced_reuse,1.00000000,1.00000000,-0.17700000
0.61666667,0.00000000,0.00000000,0.29500000,0.18191667,0.61666667,0.11308333,priced_reuse,1.00000000,1.00000000,-0.18191667
0.63333333,0.00000000,0.00000000,0.29500000,0.18683333,0.63333333,0.10816667,priced_reuse,1.00000000,1.00000000,-0.18683333
0.65000000,0.00000000,0.00000000,0.29500000,0.19175000,0.65000000,0.10325000,priced_reuse,1.00000000,1.00000000,-0.19175000
0.66666667,0.00000000,0.00000000,0.29500000,0.19666667,0.66666667,0.09833333,priced_reuse,1.00000000,1.00000000,-0.19666667
0.68333333,0.00000000,0.00000000,0.29500000,0.20158333,0.68333333,0.09341667,priced_reuse,1.00000000,1.00000000,-0.20158333
