internalization_advantage,cross_node_learning,integration_threshold,conditional_target_size,equilibrium_firm_size,per_node_surplus_at_target,regime
0.30000000,0.00000000,0.69600386,7,0,-0.39600386,modular_market
0.30750000,0.00000000,0.69600386,7,0,-0.38850386,modular_market
0.31500000,0.00000000,0.69600386,7,0,-0.38100386,modular_market
0.32250000,0.00000000,0.69600386,7,0,-0.37350386,modular_market
0.33000000,0.00000000,0.69600386,7,0,-0.36600386,modular_market
0.33750000,0.00000000,0.69600386,7,0,-0.35850386,modular_market
0.34500000,0.00000000,0.69600386,7,0,-0.35100386,modular_market
0.35250000,0.00000000,0.69600386,7,0,-0.34350386,modular_market
0.36000000,0.00000000,0.69600386,7,0,-0.33600386,modular_market
0.36750000,0.00000000,0.69600386,7,0,-0.32850386,modular_market
0.37500000,0.00000000,0.69600386,7,0,-0.32100386,modular_market
0.38250000,0.00000000,0.69600386,7,0,-0.31350386,modular_market
0.39000000,0.00000000,0.69600386,7,0,-0.30600386,modular_market
0.39750000,0.00000000,0.69600386,7,0,-0.29850386,modular_market
0.40500000,0.00000000,0.69600386,7,0,-0.29100386,modular_market
0.41250000,0.00000000,0.69600386,7,0,-0.28350386,modular_market
0.42000000,0.00000000,0.69600386,7,0,-0.27600386,modular_market
0.42750000,0.00000000,0.69600386,7,0,-0.26850386,modular_market
0.43500000,0.00000000,0.69600386,7,0,-0.26100386,modular_market
0.44250000,0.00000000,0.69600386,7,0,-0.25350386,modular_market
0.45000000,0.00000000,0.69600386,7,0,-0.24600386,modular_market
0.45750000,0.00000000,0.69600386,7,0,-0.23850386,modular_market
0.46500000,0.00000000,0.69600386,7,0,-0.23100386,modular_market
0.47250000,0.00000000,0.69600386,7,0,-0.22350386,modular_market
0.48000000,0.00000000,0.69600386,7,0,-0.21600386,modular_market
0.48750000,0.00000000,0.69600386,7,0,-0.20850386,modular_market
0.49500000,0.00000000,0.69600386,7,0,-0.20100386,modular_market
0.50250000,0.00000000,0.69600386,7,0,-0.19350386,modular_market
0.51000000,0.00000000,0.69600386,7,0,-0.18600386,modular_market
0.51750000,0.00000000,0.69600386,7,0,-0.17850386,modular_market
0.52500000,0.00000000,0.69600386,7,0,-0.17100386,modular_market
