organization_cost_scale,cross_node_learning,integration_threshold,conditional_target_size,continuous_target_size
0.01000000,0.00000000,0.36673916,7,7.01161417
0.01137500,0.00000000,0.38770151,7,6.64515207
0.01275000,0.00000000,0.40664695,6,6.33658745
0.01412500,0.00000000,0.42354025,6,6.07187496
0.01550000,0.00000000,0.44043354,6,5.84134874
0.01687500,0.00000000,0.45732684,6,5.63810424
0.01825000,0.00000000,0.47370842,5,5.45705689
0.01962500,0.00000000,0.48679604,5,5.29436626
0.02100000,0.00000000,0.49988366,5,5.14706876
0.02237500,0.00000000,0.51297128,5,5.01283498
0.02375000,0.00000000,0.52605891,5,4.88980459
0.02512500,0.00000000,0.53914653,5,4.77647102
0.02650000,0.00000000,0.55223415,5,4.67159906
0.02787500,0.00000000,0.56532177,5,4.57416484
0.02925000,0.00000000,0.57840939,5,4.48331132
0.03062500,0.00000000,0.58828489,4,4.39831473
0.03200000,0.00000000,0.59786094,4,4.31855895
0.03337500,0.00000000,0.60743700,4,4.24351569
0.03475000,0.00000000,0.61701306,4,4.17272893
0.03612500,0.00000000,0.62658911,4,4.10580264
0.03750000,0.00000000,0.63616517,4,4.04239097
0.03887500,0.00000000,0.64574123,4,3.98219029
0.04025000,0.00000000,0.65531728,4,3.92493279
0.04162500,0.00000000,0.66489334,4,3.87038119
0.04300000,0.00000000,0.67446939,4,3.81832438
0.04437500,0.00000000,0.68404545,4,3.76857379
0.04575000,0.00000000,0.69362151,4,3.72096043
0.04712500,0.00000000,0.70319756,4,3.67533228
0.04850000,0.00000000,0.71277362,4,3.63155215
0.04987500,0.00000000,0.72234967,4,3.58949592
0.05125000,0.00000000,0.73192573,4,3.54905092
0.05262500,0.00000000,0.74150179,4,3.51011462
0.05400000,0.00000000,0.75107784,4,3.47259346
0.05537500,0.00000000,0.75780035,3,3.43640191
0.05675000,0.00000000,0.76420171,3,3.40146155
0.05812500,0.00000000,0.77060307,3,3.36770034
0.05950000,0.00000000,0.77700443,3,3.33505198
0.06087500,0.00000000,0.78340580,3,3.30345532
0.06225000,0.00000000,0.78980716,3,3.27285384
0.06362500,0.00000000,0.79620852,3,3.24319525
0.06500000,0.00000000,0.80260989,3,3.21443102
0.06637500,0.00000000,0.80901125,3,3.18651613
0.06775000,0.00000000,0.81541261,3,3.15940864
0.06912500,0.00000000,0.82181398,3,3.13306953
0.07050000,0.00000000,0.82821534,3,3.10746237
0.07187500,0.00000000,0.83461670,3,3.08255312
0.07325000,0.00000000,0.84101806,3,3.05830995
0.07462500,0.00000000,0.84741943,3,3.03470304
0.07600000,0.00000000,0.85382079,3,3.01170442
0.07737500,0.00000000,0.86022215,3,2.98928783
0.07875000,0.00000000,0.86662352,3,2.96742858
0.08012500,0.00000000,0.87302488,3,2.94610345
0.08150000,0.00000000,0.87942624,3,2.92529054
0.08287500,0.00000000,0.88582761,3,2.90496921
0.08425000,0.00000000,0.89222897,3,2.88512000
0.08562500,0.00000000,0.89863033,3,2.86572448
0.08700000,0.00000000,0.90503169,3,2.84676524
0.08837500,0.00000000,0.91143306,3,2.82822581
0.08975000,0.00000000,0.91783442,3,2.81009058
0.09112500,0.00000000,0.92423578,3,2.79234474
0.09250000,0.00000000,0.93063715,3,2.77497423
0.09387500,0.00000000,0.93703851,3,2.75796572
0.09525000,0.00000000,0.94343987,3,2.74130652
0.09662500,0.00000000,0.94984124,3,2.72498458
0.09800000,0.00000000,0.95624260,3,2.70898840
0.09937500,0.00000000,0.96264396,3,2.69330705
0.10075000,0.00000000,0.96904532,3,2.67793010
0.10212500,0.00000000,0.97544669,3,2.66284762
0.10350000,0.00000000,0.98184805,3,2.64805010
0.10487500,0.00000000,0.98824941,3,2.63352849
0.10625000,0.00000000,0.99465078,3,2.61927412
0.10762500,0.00000000,1.00105214,3,2.60527871
0.10900000,0.00000000,1.00745350,3,2.59153435
0.11037500,0.00000000,1.01385487,3,2.57803343
0.11175000,0.00000000,1.02025623,3,2.56476870
0.11312500,0.00000000,1.02665759,3,2.55173319
0.11450000,0.00000000,1.03305895,3,2.53892024
0.11587500,0.00000000,1.03946032,3,2.52632342
0.11725000,0.00000000,1.04586168,3,2.51393660
0.11862500,0.00000000,1.05226304,3,2.50175388
0.12000000,0.00000000,1.05866441,3,2.48976958
0.01000000,0.01250000,0.35923916,7,7.05934604
0.01137500,0.01250000,0.38020151,7,6.68893796
0.01275000,0.01250000,0.39970250,6,6.37710949
0.01412500,0.01250000,0.41659580,6,6.10964356
0.01550000,0.01250000,0.43348910,6,5.87675721
0.01687500,0.01250000,0.45038240,6,5.67146298
0.01825000,0.01250000,0.46727570,6,5.48861580
0.01962500,0.01250000,0.48054604,5,5.32432989
0.02100000,0.01250000,0.49363366,5,5.17560696
0.02237500,0.01250000,0.50672128,5,5.04009052
0.02375000,0.01250000,0.51980891,5,4.91589879
0.02512500,0.01250000,0.53289653,5,4.80150795
0.02650000,0.01250000,0.54598415,5,4.69566876
0.02787500,0.01250000,0.55907177,5,4.59734577
0.02925000,0.01250000,0.57215939,5,4.50567235
0.03062500,0.01250000,0.58292775,4,4.41991665
0.03200000,0.01250000,0.59250380,4,4.33945574
0.03337500,0.01250000,0.60207986,4,4.26375552
0.03475000,0.01250000,0.61165591,4,4.19235499
0.03612500,0.01250000,0.62123197,4,4.12485381
0.03750000,0.01250000,0.63080803,4,4.06090239
0.03887500,0.01250000,0.64038408,4,4.00019385
0.04025000,0.01250000,0.64996014,4,3.94245752
0.04162500,0.01250000,0.65953619,4,3.88745359
0.04300000,0.01250000,0.66911225,4,3.83496873
0.04437500,0.01250000,0.67868831,4,3.78481240
0.04575000,0.01250000,0.68826436,4,3.73681383
0.04712500,0.01250000,0.69784042,4,3.69081942
0.04850000,0.01250000,0.70741648,4,3.64669057
0.04987500,0.01250000,0.71699253,4,3.60430188
0.05125000,0.01250000,0.72656859,4,3.56353953
0.05262500,0.01250000,0.73614464,4,3.52429994
0.05400000,0.01250000,0.74572070,4,3.48648861
0.05537500,0.01250000,0.75363368,3,3.45001914
0.05675000,0.01250000,0.76003504,3,3.41481233
0.05812500,0.01250000,0.76643641,3,3.38079541
0.05950000,0.01250000,0.77283777,3,3.34790144
0.06087500,0.01250000,0.77923913,3,3.31606864
0.06225000,0.01250000,0.78564049,3,3.28523996
0.06362500,0.01250000,0.79204186,3,3.25536256
0.06500000,0.01250000,0.79844322,3,3.22638748
0.06637500,0.01250000,0.80484458,3,3.19826922
0.06775000,0.01250000,0.81124595,3,3.17096548
0.06912500,0.01250000,0.81764731,3,3.14443682
0.07050000,0.01250000,0.82404867,3,3.11864648
0.07187500,0.01250000,0.83045004,3,3.09356010
0.07325000,0.01250000,0.83685140,3,3.06914554
0.07462500,0.01250000,0.84325276,3,3.04537270
0.07600000,0.01250000,0.84965412,3,3.02221333
0.07737500,0.01250000,0.85605549,3,2.99964095
0.07875000,0.01250000,0.86245685,3,2.97763062
0.08012500,0.01250000,0.86885821,3,2.95615890
0.08150000,0.01250000,0.87525958,3,2.93520370
0.08287500,0.01250000,0.88166094,3,2.91474419
0.08425000,0.01250000,0.88806230,3,2.89476071
0.08562500,0.01250000,0.89446367,3,2.87523468
0.08700000,0.01250000,0.90086503,3,2.85614853
0.08837500,0.01250000,0.90726639,3,2.83748564
0.08975000,0.01250000,0.91366775,3,2.81923023
0.09112500,0.01250000,0.92006912,3,2.80136739
0.09250000,0.01250000,0.92647048,3,2.78388293
0.09387500,0.01250000,0.93287184,3,2.76676338
0.09525000,0.01250000,0.93927321,3,2.74999595
