network,external_learning_efficiency,neutrality_penalty,regime,ownership_size,owned_names,incremental_value,selection_margin
homogeneous,0.00000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.78191355,0.56949820
homogeneous,0.01666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.72941355,0.55199820
homogeneous,0.03333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.67691355,0.53449820
homogeneous,0.05000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.62441355,0.51699820
homogeneous,0.06666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.57191355,0.49949820
homogeneous,0.08333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.51941355,0.48199820
homogeneous,0.10000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.46691355,0.46449820
homogeneous,0.11666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.41441355,0.44699820
homogeneous,0.13333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.36191355,0.42949820
homogeneous,0.15000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.30941355,0.41199820
homogeneous,0.16666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.25691355,0.39449820
homogeneous,0.18333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.20441355,0.37699820
homogeneous,0.20000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.15191355,0.35949820
homogeneous,0.21666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.09941355,0.34199820
homogeneous,0.23333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.04691355,0.32449820
homogeneous,0.25000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.99441355,0.30699820
homogeneous,0.26666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.94191355,0.28949820
homogeneous,0.28333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.88941355,0.27199820
homogeneous,0.30000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.83691355,0.25449820
homogeneous,0.31666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.78441355,0.23699820
homogeneous,0.33333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.73191355,0.21949820
homogeneous,0.35000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.67941355,0.20199820
homogeneous,0.36666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.62691355,0.18449820
homogeneous,0.38333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.57441355,0.16699820
homogeneous,0.40000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.52191355,0.14949820
homogeneous,0.41666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.46941355,0.13199820
homogeneous,0.43333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.41691355,0.11449820
homogeneous,0.45000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.36441355,0.09699820
homogeneous,0.46666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.31191355,0.07949820
homogeneous,0.48333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.25941355,0.06199820
homogeneous,0.50000000,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.20691355,0.04449820
homogeneous,0.51666667,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.15441355,0.02699820
homogeneous,0.53333333,0.00000000,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.10191355,0.00949820
homogeneous,0.55000000,0.00000000,specialized_partial_rollup,4,asset_1|asset_2|asset_3|asset_4,0.05939367,0.00000000
homogeneous,0.56666667,0.00000000,specialized_partial_rollup,3,asset_1|asset_2|asset_3,0.03969922,0.00000000
homogeneous,0.58333333,0.00000000,specialized_partial_rollup,3,asset_1|asset_2|asset_3,0.02919922,0.00000000
homogeneous,0.60000000,0.00000000,specialized_partial_rollup,3,asset_1|asset_2|asset_3,0.01869922,0.00000000
homogeneous,0.61666667,0.00000000,specialized_partial_rollup,2,asset_1|asset_2,0.00859904,0.00000000
homogeneous,0.63333333,0.00000000,specialized_partial_rollup,2,asset_1|asset_2,0.00509904,0.00000000
homogeneous,0.65000000,0.00000000,specialized_partial_rollup,2,asset_1|asset_2,0.00159904,0.00000000
homogeneous,0.66666667,0.00000000,neutral_platform,0,,0.00000000,0.00190096
homogeneous,0.68333333,0.00000000,neutral_platform,0,,0.00000000,0.00540096
homogeneous,0.70000000,0.00000000,neutral_platform,0,,0.00000000,0.00890096
homogeneous,0.71666667,0.00000000,neutral_platform,0,,0.00000000,0.01240096
homogeneous,0.73333333,0.00000000,neutral_platform,0,,0.00000000,0.01590096
homogeneous,0.75000000,0.00000000,neutral_platform,0,,0.00000000,0.01940096
homogeneous,0.76666667,0.00000000,neutral_platform,0,,0.00000000,0.02290096
homogeneous,0.78333333,0.00000000,neutral_platform,0,,0.00000000,0.02640096
homogeneous,0.80000000,0.00000000,neutral_platform,0,,0.00000000,0.02990096
homogeneous,0.81666667,0.00000000,neutral_platform,0,,0.00000000,0.03340096
homogeneous,0.83333333,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.85000000,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.86666667,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.88333333,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.90000000,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.91666667,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.93333333,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.95000000,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.96666667,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.98333333,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,1.00000000,0.00000000,neutral_platform,0,,0.00000000,0.03500000
homogeneous,0.00000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.78191355,0.57116487
homogeneous,0.01666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.72941355,0.55366487
homogeneous,0.03333333,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.67691355,0.53616487
homogeneous,0.05000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.62441355,0.51866487
homogeneous,0.06666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.57191355,0.50116487
homogeneous,0.08333333,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.51941355,0.48366487
homogeneous,0.10000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.46691355,0.46616487
homogeneous,0.11666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.41441355,0.44866487
homogeneous,0.13333333,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.36191355,0.43116487
homogeneous,0.15000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.30941355,0.41366487
homogeneous,0.16666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.25691355,0.39616487
homogeneous,0.18333333,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.20441355,0.37866487
homogeneous,0.20000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.15191355,0.36116487
homogeneous,0.21666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.09941355,0.34366487
homogeneous,0.23333333,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,1.04691355,0.32616487
homogeneous,0.25000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.99441355,0.30866487
homogeneous,0.26666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.94191355,0.29116487
homogeneous,0.28333333,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.88941355,0.27366487
homogeneous,0.30000000,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.83691355,0.25616487
homogeneous,0.31666667,0.01666667,full_network_rollup,6,asset_1|asset_2|asset_3|asset_4|asset_5|asset_6,0.78441355,0.23866487
