scenario,external_learning_efficiency,neutrality_penalty,regime,probability,mean_ownership_size,draws,seed
low_access_high_conflict,0.40000000,0.80000000,neutral_platform,0.00666667,5.95500000,600,20260721
low_access_high_conflict,0.40000000,0.80000000,single_asset_ownership,0.00000000,5.95500000,600,20260721
low_access_high_conflict,0.40000000,0.80000000,specialized_partial_rollup,0.00000000,5.95500000,600,20260721
low_access_high_conflict,0.40000000,0.80000000,cross_type_partial_rollup,0.00500000,5.95500000,600,20260721
low_access_high_conflict,0.40000000,0.80000000,full_network_rollup,0.98833333,5.95500000,600,20260721
intermediate_access_low_conflict,0.60000000,0.10000000,neutral_platform,0.02666667,3.89500000,600,20260721
intermediate_access_low_conflict,0.60000000,0.10000000,single_asset_ownership,0.00000000,3.89500000,600,20260721
intermediate_access_low_conflict,0.60000000,0.10000000,specialized_partial_rollup,0.00000000,3.89500000,600,20260721
intermediate_access_low_conflict,0.60000000,0.10000000,cross_type_partial_rollup,0.97333333,3.89500000,600,20260721
intermediate_access_low_conflict,0.60000000,0.10000000,full_network_rollup,0.00000000,3.89500000,600,20260721
high_access_high_conflict,0.80000000,0.80000000,neutral_platform,1.00000000,0.00000000,600,20260721
high_access_high_conflict,0.80000000,0.80000000,single_asset_ownership,0.00000000,0.00000000,600,20260721
high_access_high_conflict,0.80000000,0.80000000,specialized_partial_rollup,0.00000000,0.00000000,600,20260721
high_access_high_conflict,0.80000000,0.80000000,cross_type_partial_rollup,0.00000000,0.00000000,600,20260721
high_access_high_conflict,0.80000000,0.80000000,full_network_rollup,0.00000000,0.00000000,600,20260721
