external_learning_efficiency,platform_capture_share,equivalent_pareto_tail_index,neutrality_penalty,regime,ownership_size,incremental_private_value,capture_upgrade,productive_learning_upgrade,external_access_slope,selection_margin,platform_full_rollup_capture_threshold
0.00000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.16000000,1.41750000,0.00000000,0.85199820,0.46029449
0.01250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.17771875,1.39978125,0.00000000,0.84904508,0.45654936
0.02500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.19543750,1.38206250,0.00000000,0.84609195,0.45286468
0.03750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.21315625,1.36434375,0.00000000,0.84313883,0.44923900
0.05000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.23087500,1.34662500,0.00000000,0.84018570,0.44567091
0.06250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.24859375,1.32890625,0.00000000,0.83723258,0.44215906
0.07500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.26631250,1.31118750,0.00000000,0.83427945,0.43870212
0.08750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.28403125,1.29346875,0.00000000,0.83132633,0.43529882
0.10000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.30175000,1.27575000,0.00000000,0.82837320,0.43194791
0.11250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.31946875,1.25803125,0.00000000,0.82542008,0.42864820
0.12500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.33718750,1.24031250,0.00000000,0.82246695,0.42539852
0.13750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.35490625,1.22259375,0.00000000,0.81951383,0.42219774
0.15000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.37262500,1.20487500,0.00000000,0.81656070,0.41904477
0.16250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.39034375,1.18715625,0.00000000,0.81360758,0.41593854
0.17500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.40806250,1.16943750,0.00000000,0.81065445,0.41287803
0.18750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.42578125,1.15171875,0.00000000,0.80770133,0.40986222
0.20000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.44350000,1.13400000,0.00000000,0.80474820,0.40689016
0.21250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.46121875,1.11628125,0.00000000,0.80179508,0.40396088
0.22500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.47893750,1.09856250,0.00000000,0.79884195,0.40107348
0.23750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.49665625,1.08084375,0.00000000,0.79588883,0.39822707
0.25000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.51437500,1.06312500,0.00000000,0.79293570,0.39542077
0.26250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.53209375,1.04540625,0.00000000,0.78998258,0.39265375
0.27500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.54981250,1.02768750,0.00000000,0.78702945,0.38992518
0.28750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.56753125,1.00996875,0.00000000,0.78407633,0.38723427
0.30000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.58525000,0.99225000,0.00000000,0.78112320,0.38458025
0.31250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.60296875,0.97453125,0.00000000,0.77817008,0.38196236
0.32500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.62068750,0.95681250,0.00000000,0.77521695,0.37937988
0.33750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.63840625,0.93909375,0.00000000,0.77226383,0.37683207
0.35000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.65612500,0.92137500,0.00000000,0.76931070,0.37431826
0.36250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.67384375,0.90365625,0.00000000,0.76635758,0.37183777
0.37500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.69156250,0.88593750,0.00000000,0.76340445,0.36938993
0.38750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.70928125,0.86821875,0.00000000,0.76045133,0.36697412
0.40000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.72700000,0.85050000,0.00000000,0.75749820,0.36458969
0.41250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.74471875,0.83278125,0.00000000,0.75454508,0.36223606
0.42500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.76243750,0.81506250,0.00000000,0.75159195,0.35991261
0.43750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.78015625,0.79734375,0.00000000,0.74863883,0.35761878
0.45000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.79787500,0.77962500,0.00000000,0.74568570,0.35535401
0.46250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.81559375,0.76190625,0.00000000,0.74273258,0.35311774
0.47500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.83331250,0.74418750,0.00000000,0.73977945,0.35090944
0.48750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.85103125,0.72646875,0.00000000,0.73682633,0.34872859
0.50000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.86875000,0.70875000,0.00000000,0.73387320,0.34657467
0.51250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.88646875,0.69103125,0.00000000,0.73092008,0.34444721
0.52500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.90418750,0.67331250,0.00000000,0.72796695,0.34234570
0.53750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.92190625,0.65559375,0.00000000,0.72501383,0.34026968
0.55000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.93962500,0.63787500,0.00000000,0.72206070,0.33821868
0.56250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.95734375,0.62015625,0.00000000,0.71910758,0.33619227
0.57500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.97506250,0.60243750,0.00000000,0.71615445,0.33418999
0.58750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.99278125,0.58471875,0.00000000,0.71320133,0.33221142
0.60000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.01050000,0.56700000,0.00000000,0.71024820,0.33025614
0.61250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.02821875,0.54928125,0.00000000,0.70729508,0.32832374
0.62500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.04593750,0.53156250,0.00000000,0.70434195,0.32641382
