context_payment_cap,enforcement_capacity,integration_cost,regime,disclosure,monitoring,reuse,owner_payoff,provider_payoff,transfer_to_provider,period_two_route
0.00000000,0.00000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.01333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.02666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.04000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.05333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.06666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.08000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.09333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.10666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.12000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.13333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.14666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.16000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.17333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.18666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.20000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.21333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.22666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.24000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.25333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.26666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.28000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.29333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.30666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.32000000,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.33333333,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.34666667,0.00000000,ownership,0.00000000,0.00000000,0.00000000,1.33300000,0.05000000,0.00000000,none
0.00000000,0.36000000,0.00000000,secure_modular,1.00000000,0.94444444,0.00000000,1.33325154,0.05025154,0.04474846,renew
0.00000000,0.37333333,0.00000000,secure_modular,1.00000000,0.91071429,0.00000000,1.33716247,0.05416247,0.04083753,renew
0.00000000,0.38666667,0.00000000,secure_modular,1.00000000,0.87931034,0.00000000,1.34067583,0.05767583,0.03732417,renew
0.00000000,0.40000000,0.00000000,secure_modular,1.00000000,0.85000000,0.00000000,1.34384375,0.06084375,0.03415625,renew
0.00000000,0.41333333,0.00000000,secure_modular,1.00000000,0.82258065,0.00000000,1.34671007,0.06371007,0.03128993,renew
0.00000000,0.42666667,0.00000000,secure_modular,1.00000000,0.79687500,0.00000000,1.34931189,0.06631189,0.02868811,renew
0.00000000,0.44000000,0.00000000,secure_modular,1.00000000,0.77272727,0.00000000,1.35168079,0.06868079,0.02631921,renew
0.00000000,0.45333333,0.00000000,secure_modular,1.00000000,0.75000000,0.00000000,1.35384375,0.07084375,0.02415625,renew
0.00000000,0.46666667,0.00000000,secure_modular,1.00000000,0.72857143,0.00000000,1.35582398,0.07282398,0.02217602,renew
0.00000000,0.48000000,0.00000000,secure_modular,1.00000000,0.70833333,0.00000000,1.35764149,0.07464149,0.02035851,renew
0.00000000,0.49333333,0.00000000,secure_modular,1.00000000,0.68918919,0.00000000,1.35931364,0.07631364,0.01868636,renew
0.00000000,0.50666667,0.00000000,secure_modular,1.00000000,0.67105263,0.00000000,1.36085552,0.07785552,0.01714448,renew
0.00000000,0.52000000,0.00000000,secure_modular,1.00000000,0.65384615,0.00000000,1.36228033,0.07928033,0.01571967,renew
0.00000000,0.53333333,0.00000000,secure_modular,1.00000000,0.63750000,0.00000000,1.36359961,0.08059961,0.01440039,renew
0.00000000,0.54666667,0.00000000,secure_modular,1.00000000,0.62195122,0.00000000,1.36482354,0.08182354,0.01317646,renew
0.00000000,0.56000000,0.00000000,secure_modular,1.00000000,0.60714286,0.00000000,1.36596110,0.08296110,0.01203890,renew
0.00000000,0.57333333,0.00000000,secure_modular,1.00000000,0.59302326,0.00000000,1.36702021,0.08402021,0.01097979,renew
