leakage,integration_cost,p_modular,p_withholding,p_ownership,mean_context_use
0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
0.01666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.03333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.05000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.06666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.08333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.10000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.11666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.13333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.15000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.16666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.18333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.20000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.21666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.23333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.26666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.28333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.30000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.31666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.33333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.35000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.36666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.38333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.40000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.41666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.43333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.45000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.46666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.48333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.50000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.51666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.53333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.55000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.56666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.58333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.60000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.61666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.63333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.65000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.66666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.68333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.70000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.71666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.73333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.75000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.76666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.78333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.80000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.81666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.83333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.85000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.86666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.88333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.90000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.91666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.93333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.95000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.96666667,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.98333333,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,0.01500000,1.00000000,0.00000000,0.00000000,1.00000000
0.01666667,0.01500000,0.63400000,0.00000000,0.36600000,1.00000000
0.03333333,0.01500000,0.07640000,0.00000000,0.92360000,1.00000000
0.05000000,0.01500000,0.00680000,0.00000000,0.99320000,1.00000000
0.06666667,0.01500000,0.00050000,0.00000000,0.99950000,1.00000000
0.08333333,0.01500000,0.00010000,0.00000000,0.99990000,1.00000000
0.10000000,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.11666667,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.13333333,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.15000000,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.16666667,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.18333333,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.20000000,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.21666667,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.23333333,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.25000000,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
0.26666667,0.01500000,0.00000000,0.00000000,1.00000000,1.00000000
